菜品          价格
板面（小）    7
板面（大）    8
板面（小）    7
炒饭（小）    8
盖饭          8
炒饭（小）    8
一屉包子      5
鸡蛋汤        2
一屉包子      5
鸡蛋汤        2
炒饭（大）    10
板面（大）    8
板面（小）    7
盖饭          8
板面（小）    7
板面（大）    8
炒饭（小）    8
盖饭          8
炒饭（大）    10
炒饭（小）    8
盖饭          8
盖饭          8
一屉包子      5
鸡蛋汤        2
盖饭          8
盖饭          8
鸡蛋汤        2
鸡蛋汤        2
鸡块米线      8
一屉包子      5
鸡蛋汤        2
牛肉面        10
鸡块米线      8
鸡蛋汤        2
牛肉面        10
鸡块米线      8
牛肉面        10
一屉包子      5
鸡蛋汤        2
板面（小）    7
板面（大）    8
板面（小）    7
炒饭（小）    8
盖饭          8
炒饭（小）    8
一屉包子      5
鸡蛋汤        2
一屉包子      5
鸡蛋汤        2
炒饭（大）    10
板面（大）    8
板面（小）    7
盖饭          8
板面（小）    7
板面（大）    8
炒饭（小）    8
盖饭          8
炒饭（大）    10
炒饭（小）    8
盖饭          8
盖饭          8
一屉包子      5
鸡蛋汤        2
盖饭          8
盖饭          8
鸡蛋汤        2
鸡蛋汤        2
鸡块米线      8
一屉包子      5
鸡蛋汤        2
牛肉面        10
鸡块米线      8
鸡蛋汤        2
牛肉面        10
鸡块米线      8
牛肉面        10
一屉包子      5
鸡蛋汤        2
打卤面        7
牛肉面        10
一屉包子      5
鸡蛋汤        2
打卤面        7
打卤面        7
打卤面        7
打卤面        7
打卤面        7
打卤面        7
打卤面        7
